P12_1,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_2_1,P5_2_2,P5_2_3,P5_2_4,P5_2_5,P5_2_6,P5_2_7,P5_2_8,P5_2_9,P5_3,P5_4_1,P5_5_1,P5_6_1,P5_7_1,P5_4_2,P5_5_2,P5_6_2,P5_7_2,P5_4_3,P5_5_3,P5_6_3,P5_7_3,P5_4_4,P5_5_4,P5_6_4,P5_7_4,P5_4_5,P5_5_5,P5_6_5,P5_7_5,P5_4_6,P5_5_6,P5_7_6,P5_4_7,P5_5_7,P5_7_7,P5_4_8,P5_5_8,P5_6_8,P5_7_8,P5_4_9,P5_5_9,P5_6_9,P5_7_9,P5_8_01,P5_8_02,P5_8_03,P5_8_04,P5_8_05,P5_8_06,P5_8_07,P5_8_08,P5_8_09,P5_8_10,FILTRO_1_SECC5,P5_9_01,P5_9_02,P5_9_03,P5_9_04,P5_9_05,P5_9_06,P5_9_07,P5_9_08,P5_9_09,P5_10,FILTRO_2_SECC5,P5_11,FILTRO_3_SECC5,P5_12,P5_13,P5_14,FILTRO_4_SECC5,P5_15,P5_16_1,P5_16_2,P5_16_3,P5_16_4,P5_16_5,P5_17,P5_18_01,P5_18_02,P5_18_03,P5_18_04,P5_18_05,P5_18_06,P5_18_07,P5_18_08,P5_18_09,P5_18_10,P5_18_11,P5_18_12,P5_18_99,P5_19_1,P5_19_2,P5_19_3,P5_19_4,P5_19_5,P5_19_6,P5_19_7,P5_19_9,P5_20,P5_21,P5_22,P5_23,P5_24
1,1,2,2,2,2,1,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2,,,,2,,,,2,,,,1,3.0,1.0,1.0,2,,,,2,,,2,,,1,1.0,2.0,2.0,2,,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,,,2.0,2.0,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1,1.0,1.0,2.0,2,,,,2,,,,1,1.0,1.0,1.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,1.0,2,,,,2,,,,1,1.0,1.0,1.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,,,2.0,2.0,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1,1.0
2,2,2,2,2,2,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,1.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,1,1.0
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,2.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,,2.0,2.0,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,1.0,,,2.0,2.0,,,,,,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,5.0,,,2.0,2.0,,,,,,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,2.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,4.0,,,2.0,2.0,,,,,,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,1,2,1,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,1.0,2.0,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,5.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,2.0,,,,,,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,1,9.0
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,88.0,,,2.0,2.0,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2,
2,2,2,2,2,2,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,2,
2,2,2,2,1,2,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1,1.0,1.0,1.0,2,,,,2,,,,1,1.0,1.0,1.0,2,,,,2,,,2,,,2,,,,2,,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,10.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,1,9.0
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,1.0,1.0,5.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,88.0,,,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,2.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,,2.0,2.0,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,1,9.0
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,7.0,,,2.0,2.0,,,,,,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,2,
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,2.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,5.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,88.0,,,2.0,2.0,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,1,2,2,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,2.0,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,2.0,,,,,,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,1.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,1.0,8.0,,,2.0,2.0,,,,,,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,0.0,1.0,5.0,2.0,2.0,,,,,,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,5.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,1,9.0
2,2,2,2,2,2,1,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1,1.0,1.0,1.0,2,,,,2,,,,1,1.0,1.0,1.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1,9.0
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,1,1.0,2.0,2.0,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,1,1.0,2.0,2.0,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2,
1,2,2,2,2,1,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,88.0,,,2.0,2.0,,,,,,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,2.0,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1,9.0
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,2.0,,1.0,6.0,,,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,2.0,,,2.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,1,1.0,1.0,2.0,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,5.0,,,2.0,2.0,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,1,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,4.0,,,2.0,2.0,,,,,,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1,9.0
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,2.0,,,,,,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,88.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
2,2,2,2,2,2,2,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1,9.0
1,2,2,2,2,2,2,,,,,,,,,,,2,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,2.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2,
1,2,2,2,2,2,2,,,,,,,,,,,1,1.0,1.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,4.0,,,2.0,2.0,,,,,,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,2,
